beat_id,rank,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B040,2,pixabay,184978,ripples settling sunrise,0.1290486403554678,0.16664864035546778,1920,1080,12.0,Mario_Krimer,https://pixabay.com/videos/id-184978/,B040_PIXABAY_184978.mp4,downloaded,
B041,1,pixabay,233818,forest river morning drone,0.14344048149883748,0.18184048149883747,3840,2160,13.0,DrohnenpilotDeutschland,https://pixabay.com/videos/id-233818/,B041_PIXABAY_233818.mp4,downloaded,
B041,2,pexels,25920876,forest river morning drone,0.14449284911155702,0.17449284911155702,3840,2160,33.0,JOÃO CARLOS OLIVEIRA DA SILVA,https://www.pexels.com/video/passeio-com-drone-sobre-o-rio-jari-amapa-amazonia-brazil-25920876/,B041_PEXELS_25920876.mp4,downloaded,
B042,1,pexels,14890656,gentle forest stream morning,0.13979899355769157,0.16979899355769157,3840,2160,15.0,Mateo D,https://www.pexels.com/video/a-waterfalls-cascading-on-river-between-mossy-rocks-14890656/,B042_PEXELS_14890656.mp4,downloaded,
B042,2,pixabay,199243,stream leaves morning,0.12278137136995793,0.16278137136995793,1920,1080,59.0,terski,https://pixabay.com/videos/id-199243/,B042_PIXABAY_199243.mp4,downloaded,
B043,1,pexels,34568951,gentle rain leaves morning,0.14086412094533443,0.17086412094533443,3840,2160,31.0,Everett Bumstead,https://www.pexels.com/video/sunlit-leaves-in-a-rainy-forest-setting-34568951/,B043_PEXELS_34568951.mp4,downloaded,
B043,2,pexels,8549518,gentle rain leaves morning,0.13891790300607681,0.1689179030060768,3840,2160,24.0,Taryn Elliott,https://www.pexels.com/video/a-plant-outside-in-the-rain-8549518/,B043_PEXELS_8549518.mp4,downloaded,
B044,1,pexels,6234055,raindrops river plants,0.1690987941324711,0.19909879413247109,1920,1080,27.0,Matthias Groeneveld,https://www.pexels.com/video/close-up-video-of-grass-6234055/,B044_PEXELS_6234055.mp4,downloaded,
B044,2,pixabay,119139,raindrops river plants,0.13232505783438683,0.17232505783438684,3840,2160,17.0,NickyPe,https://pixabay.com/videos/id-119139/,B044_PIXABAY_119139.mp4,downloaded,
B045,1,pexels,36390397,steady tree gentle wind,0.1324026370048523,0.1624026370048523,3840,2160,34.0,Engin Akyurt,https://www.pexels.com/video/sunny-park-trees-swaying-in-gentle-breeze-36390397/,B045_PEXELS_36390397.mp4,downloaded,
B045,2,pexels,38887179,forest tree first light,0.13076241552829743,0.16076241552829743,3840,2160,46.0,Engin Akyurt,https://www.pexels.com/video/scenic-forest-trail-adventure-in-fall-season-38887179/,B045_PEXELS_38887179.mp4,downloaded,
B046,1,pexels,16834814,silhouette surrender river,0.14268233343958855,0.17268233343958855,3840,2160,22.0,Matias Luge,https://www.pexels.com/video/a-person-standing-on-the-shore-of-a-lake-16834814/,B046_PEXELS_16834814.mp4,downloaded,
B046,2,pixabay,217850,silhouette surrender river,0.13091567647457122,0.17091567647457123,1920,1080,40.0,Mario_Krimer,https://pixabay.com/videos/id-217850/,B046_PIXABAY_217850.mp4,downloaded,
B047,1,pexels,34023414,birds flying valley sunrise,0.1603842485100031,0.1903842485100031,3840,2160,15.0,Santhosh Peddi,https://www.pexels.com/video/mesmerizing-sunrise-over-misty-hills-34023414/,B047_PEXELS_34023414.mp4,downloaded,
B047,2,pexels,6218471,birds forest river wide,0.13816040694713594,0.16816040694713594,3840,2160,23.0,Ambient_Nature_ Atmosphere,https://www.pexels.com/video/lake-with-ducks-in-autumn-6218471/,B047_PEXELS_6218471.mp4,downloaded,
B048,1,pexels,10511730,mountain stream waterfall,0.14745059624314308,0.14245059624314307,3840,2160,60.0,I Am Sorin,https://www.pexels.com/video/cascades-on-stream-10511730/,B048_PEXELS_10511730.mp4,downloaded,
B048,2,pexels,7391938,small waterfall sunrise,0.14542760491371157,0.10542760491371156,3840,2160,60.0,I Am Sorin,https://www.pexels.com/video/water-flowing-in-a-stream-7391938/,B048_PEXELS_7391938.mp4,downloaded,
B049,1,pixabay,164360,gentle forest stream morning,0.12994824229739607,0.16994824229739608,3840,2160,41.0,adege,https://pixabay.com/videos/id-164360/,B049_PIXABAY_164360.mp4,downloaded,
B049,2,pexels,34823310,stream leaves morning,0.15831896975636484,0.11831896975636483,3840,2160,16.0,K,https://www.pexels.com/video/autumn-aerial-view-of-rocky-creek-landscape-34823310/,B049_PEXELS_34823310.mp4,downloaded,
B050,1,pexels,33694296,bird soaring river valley,0.14710834562778474,0.17710834562778474,3840,2160,19.0,Be The Observer,https://www.pexels.com/video/bird-soaring-over-lake-by-rocky-shoreline-33694296/,B050_PEXELS_33694296.mp4,downloaded,
B050,2,pixabay,294187,birds valley morning,0.1305860536620021,0.1705860536620021,1920,1080,20.0,iamyasar,https://pixabay.com/videos/id-294187/,B050_PIXABAY_294187.mp4,downloaded,
B051,1,pexels,11675380,golden river valley aerial,0.15781240440905095,0.18781240440905095,3840,2160,22.0,Sergei Skrynnik,https://www.pexels.com/video/drone-footage-of-a-river-in-a-mountain-landscape-11675380/,B051_PEXELS_11675380.mp4,downloaded,
B051,2,pexels,38863289,golden river valley aerial,0.15582669503986837,0.18582669503986837,3840,2160,23.0,Memet Öz,https://www.pexels.com/video/drone-footage-of-scenic-river-valley-at-sunset-38863289/,B051_PEXELS_38863289.mp4,downloaded,
B052,1,pixabay,109391,butterflies river meadow,0.15707401499152185,0.19707401499152186,3840,2160,30.0,RoyBuri,https://pixabay.com/videos/id-109391/,B052_PIXABAY_109391.mp4,downloaded,
B052,2,pixabay,41207,butterfly wildflowers morning,0.13793301746249198,0.177933017462492,4096,2160,58.0,KIMDAEJEUNG,https://pixabay.com/videos/id-41207/,B052_PIXABAY_41207.mp4,downloaded,
B053,1,pexels,14118682,forest river morning drone,0.14013299398124218,0.13513299398124218,3840,2160,57.0,Matthias Groeneveld,https://www.pexels.com/video/drone-footage-of-a-river-14118682/,B053_PEXELS_14118682.mp4,downloaded,
B053,2,pexels,32737663,winding river sunrise aerial,0.16711139842867853,0.09211139842867852,3840,2160,32.0,Tom Fisk,https://www.pexels.com/video/serene-river-meander-at-dawn-with-misty-landscape-32737663/,B053_PEXELS_32737663.mp4,downloaded,
B054,1,pexels,5590932,caregivers walking nature,0.13820749312639238,0.16820749312639238,4096,2160,29.0,cottonbro studio,https://www.pexels.com/video/a-grandmother-and-granddaughter-walking-in-the-middle-of-the-forest-5590932/,B054_PEXELS_5590932.mp4,downloaded,
B054,2,pixabay,226762,two people river trail morning,0.12776716080307962,0.1669671608030796,3840,2160,14.0,Kanenori,https://pixabay.com/videos/id-226762/,B054_PIXABAY_226762.mp4,downloaded,
B055,1,pixabay,49981,riverbank tree morning,0.12099236552417278,0.09099236552417278,1920,1080,41.0,Matthias_Groeneveld,https://pixabay.com/videos/id-49981/,B055_PIXABAY_49981.mp4,downloaded,
B056,1,pexels,6011533,hospital corridor morning silhouette,0.14382954627275468,0.17382954627275468,3840,2160,21.0,Tima Miroshnichenko,https://www.pexels.com/video/cancer-patients-in-the-hospital-6011533/,B056_PEXELS_6011533.mp4,downloaded,
B056,2,pixabay,85344,caregiver hospital hallway,0.12272568841278553,0.16112568841278552,1920,1080,13.0,AlexKopeykin,https://pixabay.com/videos/id-85344/,B056_PIXABAY_85344.mp4,downloaded,
B057,1,pexels,4574693,steady tree gentle wind,0.14100431516766548,0.17100431516766548,3840,2160,31.0,Mike Bird,https://www.pexels.com/video/time-lapse-of-moving-clouds-in-the-countryside-4574693/,B057_PEXELS_4574693.mp4,downloaded,
B057,2,pexels,14158722,steady tree gentle wind,0.13408516585826874,0.16408516585826874,4096,2160,22.0,Engin Akyurt,https://www.pexels.com/video/green-tree-tops-against-a-blue-sky-14158722/,B057_PEXELS_14158722.mp4,downloaded,
B058,1,pixabay,186070,water over rocks sunrise,0.1338513907492161,0.1738513907492161,1920,1080,25.0,Mario_Krimer,https://pixabay.com/videos/id-186070/,B058_PIXABAY_186070.mp4,downloaded,
B058,2,pexels,33174501,water over rocks sunrise,0.13594412249326707,0.16594412249326707,1920,1080,25.0,Mario Krimer,https://www.pexels.com/video/serene-sunrise-over-rocky-ocean-shoreline-33174501/,B058_PEXELS_33174501.mp4,downloaded,
B059,1,pixabay,161071,forest river morning drone,0.1291807206273079,0.1667807206273079,3840,2160,12.0,antonlukin,https://pixabay.com/videos/id-161071/,B059_PIXABAY_161071.mp4,downloaded,
B059,2,pexels,12796339,mountain valley river aerial,0.13869509822130205,0.16549509822130204,3840,2160,11.0,Низам  DRedd,https://www.pexels.com/video/drone-shot-of-a-green-valley-12796339/,B059_PEXELS_12796339.mp4,downloaded,
B060,1,pexels,10557941,gentle forest stream morning,0.14312747824937105,0.06812747824937104,3840,2160,60.0,I Am Sorin,https://www.pexels.com/video/tiny-waterfalls-on-stream-10557941/,B060_PEXELS_10557941.mp4,downloaded,
B061,1,pexels,7460417,mountain river sunrise,0.14845581766963006,0.17845581766963006,1920,1080,30.0,Mikhail Nilov,https://www.pexels.com/video/an-aerial-footage-of-a-river-between-mountains-7460417/,B061_PEXELS_7460417.mp4,downloaded,
B061,2,pexels,31986473,river golden dawn,0.1363814102113247,0.1663814102113247,3840,2160,16.0,Christopher Borges,https://www.pexels.com/video/sunrise-with-mist-over-foggy-river-31986473/,B061_PEXELS_31986473.mp4,downloaded,
B062,1,pixabay,129855,birds flying valley sunrise,0.12110544923692942,0.16110544923692943,3840,2160,60.0,rodneyeastman5,https://pixabay.com/videos/id-129855/,B062_PIXABAY_129855.mp4,downloaded,
B062,2,pexels,10502074,birds flying valley sunrise,0.14542917673289776,-0.12537082326710225,3840,2160,14.0,Traveling on  the Go,https://www.pexels.com/video/flock-of-birds-flying-under-the-sky-10502074/,B062_PEXELS_10502074.mp4,downloaded,
B063,1,pexels,34570825,sunlit forest river aerial,0.14750038640201094,0.17750038640201093,3840,2160,15.0,Wladimir Guevara,https://www.pexels.com/video/aerial-view-of-river-and-forest-landscape-34570825/,B063_PEXELS_34570825.mp4,downloaded,
B063,2,pixabay,292918,sunlit forest river aerial,0.13290122911334037,0.17290122911334038,3840,2160,29.0,LynX_BGW,https://pixabay.com/videos/id-292918/,B063_PIXABAY_292918.mp4,downloaded,
B064,1,pixabay,136183,deer misty meadow dawn,0.1298720383644104,0.16987203836441042,3840,2160,19.0,stefaniejockschat,https://pixabay.com/videos/id-136183/,B064_PIXABAY_136183.mp4,downloaded,
B064,2,pexels,18089237,deer misty meadow dawn,0.13280534610152245,0.09280534610152244,4096,2160,57.0,Matthias Groeneveld,https://www.pexels.com/video/a-misty-morning-in-the-countryside-with-trees-and-grass-18089237/,B064_PEXELS_18089237.mp4,downloaded,
B065,1,pexels,8191171,mountain river sunrise,0.13659486100077628,0.16099486100077626,4096,2160,8.0,ROMAN ODINTSOV,https://www.pexels.com/video/aerial-view-of-a-river-between-the-mountains-8191171/,B065_PEXELS_8191171.mp4,downloaded,
B065,2,pexels,33185411,forest valley morning wide,0.14059752210974694,0.06399752210974691,3840,2160,13.0,K,https://www.pexels.com/video/mountain-sunrise-over-forested-valley-33185411/,B065_PEXELS_33185411.mp4,downloaded,
B066,1,pexels,18934396,winding river sunrise aerial,0.147964413613081,0.03796441361308098,3840,2160,63.0,Tom Fisk,https://www.pexels.com/video/aerial-view-of-a-river-and-fog-in-the-morning-18934396/,B066_PEXELS_18934396.mp4,downloaded,
