beat_id,rank,origin,asset_id,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B061,1,online,pexels:3229038,pexels,3229038,dew forest leaves,0.15723040480911732,0.18723040480911732,1920,1080,38.0,Chris Gonzalez,https://www.pexels.com/video/close-up-look-of-a-forest-floor-3229038/,B061_PEXELS_3229038.mp4,downloaded,
B061,2,online,pexels:5673591,pexels,5673591,dew forest leaves,0.14143087495863438,0.17143087495863438,1920,1080,60.0,Naga Sumanth L,https://www.pexels.com/video/close-up-video-of-leaves-5673591/,B061_PEXELS_5673591.mp4,downloaded,
B062,1,online,pexels:3507469,pexels,3507469,small birds river morning,0.14267902854830028,0.17267902854830028,3840,2160,20.0,NSU MON,https://www.pexels.com/video/a-chirping-bird-perch-on-the-tip-of-a-steel-bar-3507469/,B062_PEXELS_3507469.mp4,downloaded,
B062,2,online,pexels:6922874,pexels,6922874,birds forest warm sunrise,0.14169008597731592,0.17169008597731591,3840,2160,21.0,Taryn Elliott,https://www.pexels.com/video/a-moving-shot-of-the-sun-behind-the-tree-branch-6922874/,B062_PEXELS_6922874.mp4,downloaded,
B063,1,online,pexels:15499553,pexels,15499553,birds forest aerial morning,0.15486455649137498,0.18486455649137498,3840,2160,26.0,Ash Haghighi,https://www.pexels.com/video/sunset-15499553/,B063_PEXELS_15499553.mp4,downloaded,
B063,2,online,pexels:13016862,pexels,13016862,birds forest aerial morning,0.1446549624254306,0.1746549624254306,2560,1440,35.0,Carsten Link,https://www.pexels.com/video/sun-over-woods-13016862/,B063_PEXELS_13016862.mp4,downloaded,
B064,1,online,pexels:34848383,pexels,34848383,small birds river morning,0.14640375688672067,0.17640375688672066,3840,2160,25.0,Dikunj  Vaghela,https://www.pexels.com/video/serene-water-birds-at-sunrise-in-winter-34848383/,B064_PEXELS_34848383.mp4,downloaded,
B064,2,online,pexels:35782323,pexels,35782323,flock treetops sunrise,0.14253004513680934,0.17093004513680932,3840,2160,13.0,Yetkin Ağaç,https://www.pexels.com/video/flock-of-birds-migrating-over-bare-trees-35782323/,B064_PEXELS_35782323.mp4,downloaded,
B065,1,online,pexels:18209568,pexels,18209568,distant walker woods,0.14895785205066206,-0.10104214794933797,4096,2160,26.0,Matthias Groeneveld,https://www.pexels.com/video/a-person-walking-through-a-forest-with-the-sun-shining-18209568/,B065_PEXELS_18209568.mp4,downloaded,
B065,2,online,pexels:27141740,pexels,27141740,distant walker woods,0.14425080209970476,-0.1407491979002953,3840,2160,49.0,Matthias Groeneveld,https://www.pexels.com/video/a-person-walking-down-a-path-in-the-woods-27141740/,B065_PEXELS_27141740.mp4,downloaded,
B067,1,online,pexels:6937039,pexels,6937039,cedar beside trail,0.14727241577208042,0.17727241577208042,3840,2160,15.0,James Cover,https://www.pexels.com/video/forest-tree-trunk-6937039/,B067_PEXELS_6937039.mp4,downloaded,
B067,2,online,pexels:19655269,pexels,19655269,cedar beside trail,0.1450909034907818,0.1750909034907818,3840,2160,30.0,Everett Bumstead,https://www.pexels.com/video/conifer-trees-small-size-19655269/,B067_PEXELS_19655269.mp4,downloaded,
B069,1,online,pexels:35782325,pexels,35782325,flock treetops sunrise,0.13420523846149446,0.16420523846149446,3840,2160,15.0,Yetkin Ağaç,https://www.pexels.com/video/migrating-flock-of-birds-silhouetted-against-sky-35782325/,B069_PEXELS_35782325.mp4,downloaded,
B069,2,online,pexels:35897629,pexels,35897629,small birds river morning,0.135240235298872,0.16364023529887198,1920,1080,13.0,Rich C,https://www.pexels.com/video/bird-by-the-river-in-arizona-desert-setting-35897629/,B069_PEXELS_35897629.mp4,downloaded,
B070,1,online,pexels:4248050,pexels,4248050,moss close up sunrise,0.13709379625320434,-0.1829062037467957,1920,1080,26.0,Matthias Groeneveld,https://www.pexels.com/video/video-of-grassfield-4248050/,B070_PEXELS_4248050.mp4,downloaded,
B071,1,online,pexels:3161277,pexels,3161277,moss close up sunrise,0.1357350130081177,0.1657350130081177,1920,1080,17.0,Peter Fowler,https://www.pexels.com/video/close-up-video-of-a-moss-3161277/,B071_PEXELS_3161277.mp4,downloaded,
B071,2,online,pexels:8191001,pexels,8191001,ferns morning breeze,0.1356513669192791,0.16245136691927908,4096,2160,11.0,ROMAN ODINTSOV,https://www.pexels.com/video/close-up-video-of-ferns-8191001/,B071_PEXELS_8191001.mp4,downloaded,
B072,1,online,pexels:1436647,pexels,1436647,water reflections forest,0.15536952742934226,0.18456952742934224,1920,1080,14.0,Zuzanna Musial,https://www.pexels.com/video/reflection-of-trees-in-the-lake-1436647/,B072_PEXELS_1436647.mp4,downloaded,
B072,2,online,pexels:9831271,pexels,9831271,water reflections forest,0.1532465164363384,0.1808465164363384,1920,1080,12.0,Анатолий,https://www.pexels.com/video/large-number-of-autumn-colored-leaves-on-water-9831271/,B072_PEXELS_9831271.mp4,downloaded,
B073,1,online,pexels:27112897,pexels,27112897,river valley drone morning,0.16861853976547717,0.19381853976547717,3840,2160,9.0,Alex Moliski,https://www.pexels.com/video/a-river-runs-through-a-valley-in-the-middle-of-a-forest-27112897/,B073_PEXELS_27112897.mp4,downloaded,
B073,2,online,pexels:19939748,pexels,19939748,river valley drone morning,0.15066820387542249,0.18066820387542248,1920,1080,56.0,Aerial Wanderlust,https://www.pexels.com/video/sunrise-shot-19939748/,B073_PEXELS_19939748.mp4,downloaded,
